month_of,day,item,item_url
Complementary Days,1,Virtue,https://en.wikipedia.org/wiki/Virtue
Complementary Days,2,Talent,https://en.wikipedia.org/wiki/Aptitude
Complementary Days,3,Labor,https://en.wikipedia.org/wiki/Work_(human_activity)
Complementary Days,4,Convictions,https://en.wikipedia.org/wiki/Axiom
Complementary Days,5,Honors,https://en.wikipedia.org/wiki/Award
Complementary Days,6,Revoution,https://en.wikipedia.org/wiki/Revolution
